GEO_ID,NAME,B02001_001E,B02001_002E,Percent White Alone,B02001_003E,Percent AA,B02001_004E,Percent American Indian,B02001_005E,Percent Asian,B02001_006E,Percent Native Hawaiian and Pacific Islander
id,Geographic Area Name,Estimate!!Total,Estimate!!Total!!White alone,White Alone,Estimate!!Total!!Black or African American alone,AA Alone,Estimate!!Total!!American Indian and Alaska Native alone,American Indian Alone,Estimate!!Total!!Asian alone,Asian Alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Native Hawaiian Pacific Islander Alone
0500000US01003,"Baldwin County, Alabama",218022,187759,0.8612,20554,0.0943,1276,0.0059,2338,0.0107,45,0.0002
0500000US01015,"Calhoun County, Alabama",114277,85046,0.7442,24737,0.2165,107,0.0009,426,0.0037,0,0.0000
0500000US01043,"Cullman County, Alabama",83442,78643,0.9425,906,0.0109,301,0.0036,166,0.0020,0,0.0000
0500000US01049,"DeKalb County, Alabama",71385,60157,0.8427,1335,0.0187,868,0.0122,173,0.0024,0,0.0000
0500000US01051,"Elmore County, Alabama",81887,60622,0.7403,17113,0.2090,345,0.0042,522,0.0064,0,0.0000
0500000US01055,"Etowah County, Alabama",102501,81129,0.7915,17474,0.1705,209,0.0020,862,0.0084,0,0.0000
0500000US01069,"Houston County, Alabama",104722,72687,0.6941,29214,0.2790,66,0.0006,700,0.0067,0,0.0000
0500000US01073,"Jefferson County, Alabama",659300,341227,0.5176,282596,0.4286,1786,0.0027,9564,0.0145,724,0.0011
0500000US01077,"Lauderdale County, Alabama",92387,80452,0.8708,9614,0.1041,89,0.0010,667,0.0072,133,0.0014
0500000US01081,"Lee County, Alabama",163941,115009,0.7015,38323,0.2338,453,0.0028,6950,0.0424,0,0.0000
0500000US01083,"Limestone County, Alabama",96174,75365,0.7836,13504,0.1404,702,0.0073,1377,0.0143,0,0.0000
0500000US01089,"Madison County, Alabama",366519,245460,0.6697,88541,0.2416,1201,0.0033,9303,0.0254,27,0.0001
0500000US01095,"Marshall County, Alabama",96109,87628,0.9118,3727,0.0388,269,0.0028,385,0.0040,0,0.0000
0500000US01097,"Mobile County, Alabama",413757,239651,0.5792,150188,0.3630,3056,0.0074,8037,0.0194,138,0.0003
0500000US01101,"Montgomery County, Alabama",225763,78367,0.3471,132366,0.5863,518,0.0023,7122,0.0315,0,0.0000
0500000US01103,"Morgan County, Alabama",119089,91390,0.7674,17107,0.1436,327,0.0027,613,0.0051,0,0.0000
0500000US01115,"St. Clair County, Alabama",88690,76382,0.8612,8976,0.1012,155,0.0017,715,0.0081,0,0.0000
0500000US01117,"Shelby County, Alabama",215707,172086,0.7978,27162,0.1259,372,0.0017,4767,0.0221,27,0.0001
0500000US01121,"Talladega County, Alabama",79828,50857,0.6371,27226,0.3411,433,0.0054,110,0.0014,0,0.0000
0500000US01125,"Tuscaloosa County, Alabama",208911,135323,0.6478,67036,0.3209,529,0.0025,3471,0.0166,0,0.0000
0500000US01127,"Walker County, Alabama",63711,57117,0.8965,3863,0.0606,98,0.0015,141,0.0022,0,0.0000
0500000US02020,"Anchorage Municipality, Alaska",291538,181491,0.6225,16679,0.0572,22022,0.0755,28273,0.0970,6105,0.0209
0500000US02090,"Fairbanks North Star Borough, Alaska",98971,74307,0.7508,4941,0.0499,8025,0.0811,2956,0.0299,734,0.0074
0500000US02170,"Matanuska-Susitna Borough, Alaska",107610,88760,0.8248,901,0.0084,8317,0.0773,1943,0.0181,77,0.0007
0500000US04001,"Apache County, Arizona",71818,16256,0.2263,411,0.0057,53873,0.7501,416,0.0058,59,0.0008
0500000US04003,"Cochise County, Arizona",126770,109392,0.8629,4814,0.0380,1738,0.0137,2511,0.0198,210,0.0017
0500000US04005,"Coconino County, Arizona",142854,90589,0.6341,1882,0.0132,38177,0.2672,2687,0.0188,0,0.0000
0500000US04013,"Maricopa County, Arizona",4410824,3466879,0.7860,257889,0.0585,91630,0.0208,184809,0.0419,10478,0.0024
