GEO_ID,NAME,P017001,P017002,P017003
id,Geographic Area Name,Average household size!!Total,Average household size!!Total!!Under 18 years,Average household size!!Total!!18 years and over
0500000US05131,"Sebastian County, Arkansas",2.49,0.64,1.85
0500000US05133,"Sevier County, Arkansas",2.83,0.84,1.98
0500000US05135,"Sharp County, Arkansas",2.32,0.51,1.81
0500000US05137,"Stone County, Arkansas",2.3,0.48,1.82
0500000US05139,"Union County, Arkansas",2.43,0.59,1.83
0500000US05141,"Van Buren County, Arkansas",2.3,0.48,1.83
0500000US05143,"Washington County, Arkansas",2.56,0.67,1.89
0500000US05145,"White County, Arkansas",2.52,0.63,1.89
0500000US05149,"Yell County, Arkansas",2.66,0.71,1.95
0500000US06011,"Colusa County, California",3,0.9,2.1
0500000US06007,"Butte County, California",2.45,0.52,1.93
0500000US06001,"Alameda County, California",2.7,0.62,2.08
0500000US06003,"Alpine County, California",2.32,0.52,1.8
0500000US06005,"Amador County, California",2.3,0.43,1.87
0500000US06009,"Calaveras County, California",2.39,0.47,1.92
0500000US06013,"Contra Costa County, California",2.77,0.69,2.08
0500000US06015,"Del Norte County, California",2.5,0.61,1.89
0500000US06031,"Kings County, California",3.19,1.03,2.16
0500000US06021,"Glenn County, California",2.84,0.8,2.04
0500000US06023,"Humboldt County, California",2.31,0.48,1.84
0500000US06025,"Imperial County, California",3.34,1.04,2.3
0500000US06017,"El Dorado County, California",2.55,0.58,1.97
0500000US06019,"Fresno County, California",3.15,0.96,2.2
0500000US06027,"Inyo County, California",2.25,0.48,1.77
0500000US06029,"Kern County, California",3.15,0.99,2.16
0500000US06043,"Mariposa County, California",2.28,0.42,1.86
0500000US06033,"Lake County, California",2.39,0.51,1.88
0500000US06035,"Lassen County, California",2.5,0.62,1.88
0500000US06037,"Los Angeles County, California",2.98,0.74,2.24
0500000US06039,"Madera County, California",3.28,0.99,2.3
0500000US06041,"Marin County, California",2.36,0.5,1.85
0500000US06059,"Orange County, California",2.99,0.74,2.25
0500000US06045,"Mendocino County, California",2.46,0.55,1.9
0500000US06047,"Merced County, California",3.32,1.06,2.25
0500000US06049,"Modoc County, California",2.3,0.51,1.79
0500000US06051,"Mono County, California",2.42,0.52,1.91
0500000US06053,"Monterey County, California",3.15,0.88,2.27
0500000US06055,"Napa County, California",2.69,0.64,2.05
0500000US06057,"Nevada County, California",2.35,0.46,1.89
0500000US06071,"San Bernardino County, California",3.26,0.97,2.29
0500000US06067,"Sacramento County, California",2.71,0.7,2.01
0500000US06069,"San Benito County, California",3.27,0.95,2.32
0500000US06061,"Placer County, California",2.6,0.64,1.96
0500000US06063,"Plumas County, California",2.2,0.4,1.8
0500000US06065,"Riverside County, California",3.14,0.9,2.24
0500000US01001,"Autauga County, Alabama",2.68,0.72,1.95
0500000US01007,"Bibb County, Alabama",2.6,0.65,1.96
0500000US01017,"Chambers County, Alabama",2.42,0.55,1.87
0500000US01019,"Cherokee County, Alabama",2.42,0.52,1.89
0500000US01025,"Clarke County, Alabama",2.47,0.62,1.85
0500000US01013,"Butler County, Alabama",2.43,0.6,1.83
0500000US01009,"Blount County, Alabama",2.63,0.65,1.98
0500000US01011,"Bullock County, Alabama",2.46,0.65,1.81
0500000US01021,"Chilton County, Alabama",2.61,0.66,1.95
0500000US01023,"Choctaw County, Alabama",2.34,0.54,1.81
0500000US01037,"Coosa County, Alabama",2.38,0.49,1.89
0500000US01027,"Clay County, Alabama",2.41,0.55,1.86
0500000US01029,"Cleburne County, Alabama",2.51,0.6,1.91
0500000US01031,"Coffee County, Alabama",2.49,0.61,1.88
0500000US01035,"Conecuh County, Alabama",2.34,0.54,1.8
0500000US01033,"Colbert County, Alabama",2.37,0.53,1.84
0500000US01053,"Escambia County, Alabama",2.48,0.61,1.87
0500000US01039,"Covington County, Alabama",2.39,0.55,1.85
0500000US01041,"Crenshaw County, Alabama",2.44,0.59,1.85
0500000US01043,"Cullman County, Alabama",2.49,0.58,1.91
0500000US01045,"Dale County, Alabama",2.46,0.62,1.84
0500000US01047,"Dallas County, Alabama",2.52,0.68,1.85
0500000US01049,"DeKalb County, Alabama",2.62,0.68,1.94
0500000US01051,"Elmore County, Alabama",2.61,0.66,1.95
0500000US01065,"Hale County, Alabama",2.46,0.62,1.84
0500000US01055,"Etowah County, Alabama",2.43,0.57,1.87
0500000US01057,"Fayette County, Alabama",2.39,0.54,1.85
0500000US01059,"Franklin County, Alabama",2.56,0.64,1.92
0500000US01061,"Geneva County, Alabama",2.43,0.55,1.88
0500000US01063,"Greene County, Alabama",2.39,0.58,1.81
0500000US01081,"Lee County, Alabama",2.44,0.57,1.87
0500000US01067,"Henry County, Alabama",2.45,0.56,1.89
0500000US01069,"Houston County, Alabama",2.44,0.6,1.84
0500000US01071,"Jackson County, Alabama",2.45,0.55,1.89
0500000US01073,"Jefferson County, Alabama",2.44,0.58,1.85
0500000US01075,"Lamar County, Alabama",2.35,0.53,1.82
0500000US01077,"Lauderdale County, Alabama",2.35,0.52,1.83
0500000US01079,"Lawrence County, Alabama",2.5,0.58,1.91
0500000US01099,"Monroe County, Alabama",2.48,0.63,1.85
0500000US01083,"Limestone County, Alabama",2.54,0.63,1.91
0500000US01085,"Lowndes County, Alabama",2.57,0.63,1.95
0500000US01087,"Macon County, Alabama",2.32,0.51,1.8
0500000US01089,"Madison County, Alabama",2.43,0.59,1.84
0500000US01091,"Marengo County, Alabama",2.43,0.61,1.83
0500000US01093,"Marion County, Alabama",2.36,0.53,1.84
0500000US01097,"Mobile County, Alabama",2.56,0.65,1.91
0500000US01095,"Marshall County, Alabama",2.57,0.65,1.92
0500000US01115,"St. Clair County, Alabama",2.58,0.63,1.95
0500000US01101,"Montgomery County, Alabama",2.45,0.62,1.83
0500000US01103,"Morgan County, Alabama",2.5,0.61,1.89
0500000US01105,"Perry County, Alabama",2.5,0.65,1.85
0500000US01107,"Pickens County, Alabama",2.42,0.57,1.85
0500000US01109,"Pike County, Alabama",2.34,0.5,1.84
0500000US01111,"Randolph County, Alabama",2.46,0.6,1.86
0500000US01113,"Russell County, Alabama",2.47,0.63,1.83
0500000US01127,"Walker County, Alabama",2.49,0.57,1.92
0500000US01117,"Shelby County, Alabama",2.6,0.67,1.93
