GEO_ID,NAME,DP05_0024E,DP05_0024M,DP05_0024PE,DP05_0024PM
id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population!!65 years and over,Margin of Error!!SEX AND AGE!!Total population!!65 years and over,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over,Percent Margin of Error!!SEX AND AGE!!Total population!!65 years and over
0500000US01001,"Autauga County, Alabama",8050,75,14.6,0.1
0500000US01003,"Baldwin County, Alabama",40665,69,19.5,0.1
0500000US01005,"Barbour County, Alabama",4634,29,18,0.1
0500000US01007,"Bibb County, Alabama",3661,161,16.3,0.7
0500000US01009,"Blount County, Alabama",10233,91,17.8,0.2
0500000US01011,"Bullock County, Alabama",1616,*****,15.6,*****
0500000US01013,"Butler County, Alabama",3806,21,19,0.1
0500000US01015,"Calhoun County, Alabama",19386,119,16.8,0.1
0500000US01017,"Chambers County, Alabama",6409,85,18.9,0.3
0500000US01019,"Cherokee County, Alabama",5621,98,21.7,0.4
0500000US01021,"Chilton County, Alabama",6927,37,15.8,0.1
0500000US01023,"Choctaw County, Alabama",2884,*****,22.1,*****
0500000US01025,"Clarke County, Alabama",4626,21,19,0.1
0500000US01027,"Clay County, Alabama",2652,44,19.8,0.3
0500000US01029,"Cleburne County, Alabama",2803,36,18.8,0.2
0500000US01031,"Coffee County, Alabama",8375,75,16.3,0.1
0500000US01033,"Colbert County, Alabama",10502,73,19.3,0.1
0500000US01035,"Conecuh County, Alabama",2707,*****,21.6,*****
0500000US01037,"Coosa County, Alabama",2368,*****,21.8,*****
0500000US01039,"Covington County, Alabama",7650,100,20.5,0.3
0500000US01041,"Crenshaw County, Alabama",2542,37,18.3,0.3
0500000US01043,"Cullman County, Alabama",14803,95,18,0.1
0500000US01045,"Dale County, Alabama",7939,85,16.1,0.2
0500000US01047,"Dallas County, Alabama",6705,49,16.8,0.1
0500000US01049,"DeKalb County, Alabama",11619,92,16.3,0.1
0500000US01051,"Elmore County, Alabama",11770,111,14.5,0.1
0500000US01053,"Escambia County, Alabama",6476,75,17.3,0.2
0500000US01055,"Etowah County, Alabama",18877,99,18.3,0.1
0500000US01057,"Fayette County, Alabama",3392,40,20.5,0.2
0500000US01059,"Franklin County, Alabama",5100,114,16.2,0.4
0500000US01061,"Geneva County, Alabama",5152,45,19.4,0.2
0500000US01063,"Greene County, Alabama",1716,*****,20.4,*****
0500000US01065,"Hale County, Alabama",2717,*****,18.3,*****
0500000US01067,"Henry County, Alabama",3696,36,21.6,0.2
0500000US01069,"Houston County, Alabama",17615,33,16.9,0.1
0500000US01071,"Jackson County, Alabama",9972,33,19.1,0.1
0500000US01073,"Jefferson County, Alabama",99146,26,15,0.1
0500000US01075,"Lamar County, Alabama",2938,59,21.1,0.4
0500000US01077,"Lauderdale County, Alabama",17876,107,19.3,0.1
0500000US01079,"Lawrence County, Alabama",5787,121,17.4,0.4
0500000US01081,"Lee County, Alabama",17739,143,11.1,0.1
0500000US01083,"Limestone County, Alabama",13723,123,14.7,0.1
0500000US01085,"Lowndes County, Alabama",1828,*****,17.9,*****
0500000US01087,"Macon County, Alabama",3542,64,18.6,0.3
0500000US01089,"Madison County, Alabama",51308,25,14.3,0.1
0500000US01091,"Marengo County, Alabama",3690,8,18.9,0.1
0500000US01093,"Marion County, Alabama",6219,70,20.8,0.2
0500000US01095,"Marshall County, Alabama",15941,63,16.8,0.1
0500000US01097,"Mobile County, Alabama",63650,27,15.3,0.1
0500000US01099,"Monroe County, Alabama",4060,77,18.9,0.4
0500000US01101,"Montgomery County, Alabama",32183,60,14.2,0.1
0500000US01103,"Morgan County, Alabama",19865,160,16.7,0.1
0500000US01105,"Perry County, Alabama",1764,*****,18.6,*****
0500000US01107,"Pickens County, Alabama",3729,80,18.4,0.4
0500000US01109,"Pike County, Alabama",4886,65,14.6,0.2
0500000US01111,"Randolph County, Alabama",4512,38,20,0.2
0500000US01113,"Russell County, Alabama",7776,100,13.4,0.2
0500000US01115,"St. Clair County, Alabama",13891,84,15.9,0.1
0500000US01117,"Shelby County, Alabama",30125,103,14.3,0.1
0500000US01119,"Sumter County, Alabama",2198,*****,16.9,*****
0500000US01121,"Talladega County, Alabama",13757,113,17.1,0.1
0500000US01123,"Tallapoosa County, Alabama",8274,54,20.4,0.1
0500000US01125,"Tuscaloosa County, Alabama",25685,125,12.5,0.1
0500000US01127,"Walker County, Alabama",12024,46,18.6,0.1
0500000US01129,"Washington County, Alabama",3038,112,18.3,0.7
0500000US01131,"Wilcox County, Alabama",1985,*****,18.4,*****
0500000US01133,"Winston County, Alabama",5027,49,21.1,0.2
0500000US02013,"Aleutians East Borough, Alaska",302,54,8.8,1.6
0500000US02016,"Aleutians West Census Area, Alaska",334,37,5.8,0.7
0500000US02020,"Anchorage Municipality, Alaska",29492,109,10,0.1
0500000US02050,"Bethel Census Area, Alaska",1284,55,7.1,0.3
0500000US02060,"Bristol Bay Borough, Alaska",85,19,9.6,2.1
0500000US02068,"Denali Borough, Alaska",162,65,7.3,4.1
